,Date,Stock Code,Reference Price,Opening Price,Closing Price,Highest Price,Lowest Price,Average Price,Change (+/-),Change (%),Matched Transactions Volume,Matched Transactions Value,Negotiated Transactions Volume,Negotiated Transactions Value,Total Transactions Volume,Total Transactions Value,Market Capitalization
0,26/02/2025,AAA,9.0,9.02,8.92,9.07,8.9,8.98,-80,-0.89,"1,550,400","13,918",0,0,"1,550,400","13,918","3,409,889"
1,26/02/2025,AAM,6.83,6.9,7.0,7.0,6.85,6.5,170,2.49,"2,000",13,0,0,"2,000",13,"73,158"
2,26/02/2025,AAT,3.35,3.58,3.35,3.58,3.34,3.3,-,-,"9,700",32,0,0,"9,700",32,"237,244"
3,26/02/2025,ABR,13.3,13.7,13.9,13.9,13.7,13.33,600,4.51,300,4,0,0,300,4,"278,000"
4,26/02/2025,ABS,4.73,4.73,4.68,4.73,4.68,4.7,-50,-1.06,"254,300","1,194",0,0,"254,300","1,194","374,400"
5,26/02/2025,ABT,47.3,47.2,46.1,47.2,45.95,46.34,"-1,200",-2.54,"29,900","1,385",0,0,"29,900","1,385","542,932"
6,26/02/2025,ACB,26.0,26.05,25.95,26.1,25.95,26.0,-50,-0.19,"5,056,300","131,474","322,261","8,905","5,378,561","140,379","115,909,773"
7,26/02/2025,ACC,14.35,14.3,14.4,14.4,14.2,14.25,50,0.35,"18,600",265,0,0,"18,600",265,"1,512,000"
8,26/02/2025,ACG,39.2,39.2,39.5,39.65,39.0,39.36,300,0.77,"4,700",185,0,0,"4,700",185,"5,956,124"
9,26/02/2025,ACL,11.8,11.7,11.75,11.75,11.6,11.67,-50,-0.42,"6,600",77,0,0,"6,600",77,"589,368"
10,26/02/2025,ADG,10.4,10.6,10.5,10.6,10.45,10.41,100,0.96,"7,600",79,0,0,"7,600",79,"224,495"
11,26/02/2025,ADP,28.8,28.7,28.7,29.0,28.7,28.69,-100,-0.35,"16,000",459,0,0,"16,000",459,"661,244"
12,26/02/2025,ADS,9.59,9.59,9.59,9.62,9.58,9.6,-,-,"117,700","1,129","50,000",446,"167,700","1,575","732,625"
13,26/02/2025,AGG,16.65,16.65,16.65,16.75,16.55,16.61,-,-,"257,300","4,272",0,0,"257,300","4,272","2,706,093"
14,26/02/2025,AGM,3.0,2.99,2.95,3.0,2.95,2.97,-50,-1.67,"144,900",430,0,0,"144,900",430,"53,690"
15,26/02/2025,AGR,17.65,17.75,17.9,18.35,17.55,17.93,250,1.42,"1,980,500","35,519",0,0,"1,980,500","35,519","3,855,504"
16,26/02/2025,ANV,17.2,17.2,17.2,17.3,17.1,17.16,-,-,"1,179,100","20,235",0,0,"1,179,100","20,235","4,579,599"
17,26/02/2025,APG,9.09,9.09,9.16,9.18,9.02,9.11,70,0.77,"257,400","2,345",0,0,"257,400","2,345","2,048,377"
18,26/02/2025,APH,7.2,7.29,7.2,7.31,7.16,7.25,-,-,"354,600","2,571",0,0,"354,600","2,571","1,755,967"
19,26/02/2025,ASG,17.8,17.75,17.75,17.75,17.75,17.33,-50,-0.28,"1,500",26,0,0,"1,500",26,"1,611,428"
20,26/02/2025,AAA,9.0,9.02,8.92,9.07,8.9,8.98,-80,-0.89,"1,550,400","13,918",0,0,"1,550,400","13,918","3,409,889"
21,26/02/2025,AAM,6.83,6.9,7.0,7.0,6.85,6.5,170,2.49,"2,000",13,0,0,"2,000",13,"73,158"
22,26/02/2025,AAT,3.35,3.58,3.35,3.58,3.34,3.3,-,-,"9,700",32,0,0,"9,700",32,"237,244"
23,26/02/2025,ABR,13.3,13.7,13.9,13.9,13.7,13.33,600,4.51,300,4,0,0,300,4,"278,000"
24,26/02/2025,ABS,4.73,4.73,4.68,4.73,4.68,4.7,-50,-1.06,"254,300","1,194",0,0,"254,300","1,194","374,400"
25,26/02/2025,ABT,47.3,47.2,46.1,47.2,45.95,46.34,"-1,200",-2.54,"29,900","1,385",0,0,"29,900","1,385","542,932"
26,26/02/2025,ACB,26.0,26.05,25.95,26.1,25.95,26.0,-50,-0.19,"5,056,300","131,474","322,261","8,905","5,378,561","140,379","115,909,773"
27,26/02/2025,ACC,14.35,14.3,14.4,14.4,14.2,14.25,50,0.35,"18,600",265,0,0,"18,600",265,"1,512,000"
28,26/02/2025,ACG,39.2,39.2,39.5,39.65,39.0,39.36,300,0.77,"4,700",185,0,0,"4,700",185,"5,956,124"
29,26/02/2025,ACL,11.8,11.7,11.75,11.75,11.6,11.67,-50,-0.42,"6,600",77,0,0,"6,600",77,"589,368"
30,26/02/2025,ADG,10.4,10.6,10.5,10.6,10.45,10.41,100,0.96,"7,600",79,0,0,"7,600",79,"224,495"
31,26/02/2025,ADP,28.8,28.7,28.7,29.0,28.7,28.69,-100,-0.35,"16,000",459,0,0,"16,000",459,"661,244"
32,26/02/2025,ADS,9.59,9.59,9.59,9.62,9.58,9.6,-,-,"117,700","1,129","50,000",446,"167,700","1,575","732,625"
33,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,
