0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,06/03/2025,AAA,8.66,8.67,8.69,8.72,8.60,8.65,30,0.35,"2,201,200","19,043",0,0,"2,201,200","19,043","3,321,965"
2,06/03/2025,AAM,7.00,6.80,6.90,7.05,6.80,6.86,-100,-1.43,"8,600",59,0,0,"8,600",59,"72,113"
3,06/03/2025,AAT,3.29,3.29,3.27,3.33,3.27,3.28,-20,-0.61,"79,600",261,0,0,"79,600",261,"231,578"
4,06/03/2025,ABR,13.50,14.00,14.00,14.00,14.00,10.00,500,3.70,100,1,0,0,100,1,"280,000"
5,06/03/2025,ABS,4.54,4.57,4.52,4.61,4.50,4.53,-20,-0.44,"220,700",999,0,0,"220,700",999,"361,600"
6,06/03/2025,ABT,49.25,49.25,49.70,51.10,49.25,50.35,450,0.91,"48,900","2,462",0,0,"48,900","2,462","585,330"
7,06/03/2025,ACB,26.15,26.25,26.40,26.40,26.15,26.29,250,0.96,"5,071,000","133,327","920,000","25,345","5,991,000","158,672","117,919,769"
8,06/03/2025,ACC,14.30,14.30,14.50,14.50,14.30,14.42,200,1.40,"13,900",200,0,0,"13,900",200,"1,522,500"
9,06/03/2025,ACG,39.05,39.50,39.85,40.00,39.15,39.62,800,2.05,"28,900","1,145",0,0,"28,900","1,145","6,008,900"
10,06/03/2025,ACL,11.55,11.55,11.50,11.60,11.20,11.29,-50,-0.43,"93,300","1,053",0,0,"93,300","1,053","576,829"
11,06/03/2025,ADG,10.30,10.50,10.20,10.60,10.20,10.53,-100,-0.97,"1,900",20,0,0,"1,900",20,"218,081"
12,06/03/2025,ADP,28.70,28.85,28.70,29.00,28.65,28.74,-,-,"16,700",480,0,0,"16,700",480,"661,244"
13,06/03/2025,ADS,9.10,9.15,9.17,9.19,9.05,9.12,70,0.77,"204,400","1,864",0,0,"204,400","1,864","700,540"
14,06/03/2025,AGG,16.90,17.25,16.90,17.25,16.90,17.00,-,-,"648,400","11,024",0,0,"648,400","11,024","2,746,725"
15,06/03/2025,AGM,2.87,2.87,2.88,2.92,2.87,2.89,10,0.35,"78,600",227,0,0,"78,600",227,"52,416"
16,06/03/2025,AGR,18.00,18.20,18.60,18.60,18.05,18.39,600,3.33,"2,399,500","44,115",0,0,"2,399,500","44,115","4,006,277"
17,06/03/2025,ANV,17.10,17.20,17.45,17.45,17.10,17.29,350,2.05,"1,853,100","32,038",0,0,"1,853,100","32,038","4,646,163"
18,06/03/2025,APG,9.04,9.10,9.08,9.18,9.04,9.08,40,0.44,"226,900","2,060",0,0,"226,900","2,060","2,030,487"
19,06/03/2025,APH,7.14,7.20,7.18,7.26,7.17,7.20,40,0.56,"362,200","2,609",0,0,"362,200","2,609","1,751,089"
20,06/03/2025,ASG,17.50,17.75,17.85,17.85,17.75,17.50,350,2.00,"2,400",42,0,0,"2,400",42,"1,620,506"
